"ID","PUNITIVO","SEXO","EDAD","IDEOLOGIA","VICTIMA","RELIGION","ANO"
14111264,"1","0",38,5,"0","1",2014
14110177,"1","1",70,3,"0","1",2014
14111039,"1","0",29,6,"0","1",2014
14111499,"1","1",42,5,"1","6",2014
14111149,"1","0",22,6,"1","1",2014
14111169,"0","0",33,7,"0","1",2014
14110638,"1","1",62,5,"1","4",2014
14110583,"0","0",38,8,"0","1",2014
14111498,"0","1",65,8,"0","1",2014
14110517,"1","1",21,4,"0","1",2014
14111122,"1","0",52,5,"1","1",2014
14110868,"1","1",26,5,"0","1",2014
14110016,"1","0",31,5,"0","1",2014
14111038,"1","0",29,5,"1","1",2014
14110590,"1","0",21,2,"1","3",2014
14110771,"0","0",56,5,"0","1",2014
14110993,"0","1",66,5,"0","1",2014
14111409,"0","1",22,10,"0","1",2014
14110111,"1","0",20,6,"1","1",2014
14110480,"0","1",22,3,"0","5",2014
14110679,"0","1",24,6,"0","1",2014
14111001,"1","1",41,4,"1","1",2014
14110099,"1","1",54,6,"0","1",2014
14110139,"1","1",32,6,"0","1",2014
14110941,"1","1",20,4,"0","1",2014
14110664,"1","0",29,5,"1","1",2014
14111477,"1","1",18,6,"0","1",2014
14110811,"1","0",34,7,"0","10",2014
14110774,"1","1",64,5,"0","1",2014
14111373,"0","0",19,5,"0","1",2014
14111296,"0","1",41,6,"0","1",2014
14110938,"1","0",27,6,"0","1",2014
14111435,"1","0",29,8,"0","5",2014
14110283,"0","1",66,7,"0","1",2014
14110541,"1","0",43,5,"1","1",2014
14111469,"0","1",59,5,"0","6",2014
14111048,"1","1",42,5,"1","1",2014
14111487,"1","1",20,8,"0","1",2014
14110763,"0","1",20,6,"1","1",2014
14110940,"1","0",57,5,"0","6",2014
14110165,"1","1",28,7,"0","1",2014
14110122,"1","0",53,4,"0","1",2014
14110689,"1","0",61,7,"1","1",2014
14110795,"0","1",55,6,"0","1",2014
14110179,"1","1",43,4,"0","5",2014
14110826,"1","0",34,5,"1","1",2014
14110545,"1","1",44,2,"0","1",2014
14111429,"0","1",46,7,"1","5",2014
14111293,"1","1",26,6,"1","1",2014
14110310,"0","0",53,3,"0","1",2014
14110680,"0","0",24,6,"1","1",2014
14110734,"0","0",27,10,"1","1",2014
14111315,"0","1",61,2,"0","1",2014
14110365,"1","0",34,4,"0","1",2014
14110256,"1","0",45,5,"0","1",2014
14111253,"1","0",19,3,"0","1",2014
14111252,"1","1",38,1,"0","1",2014
14111411,"0","0",53,2,"1","1",2014
14111083,"0","0",55,9,"0","1",2014
14110953,"1","0",52,10,"1","1",2014
14110368,"1","1",24,4,"1","5",2014
14111312,"0","1",21,6,"0","1",2014
14110166,"1","0",45,4,"0","1",2014
14110756,"1","1",33,5,"1","1",2014
14110300,"1","1",29,2,"1","5",2014
14110955,"1","0",25,6,"1","1",2014
14110765,"1","1",31,6,"0","1",2014
14110164,"1","0",25,3,"0","1",2014
14111357,"0","1",31,8,"1","1",2014
14110857,"0","1",35,5,"0","1",2014
14111162,"1","1",22,5,"1","1",2014
14110610,"0","0",54,5,"1","1",2014
14110878,"0","0",40,5,"0","1",2014
14110594,"1","1",38,5,"0","1",2014
14110707,"1","1",48,7,"0","5",2014
14110880,"1","1",20,6,"0","1",2014
14110286,"1","0",32,9,"1","1",2014
14111450,"0","0",25,5,"0","1",2014
14110666,"1","1",25,7,"0","1",2014
14111199,"1","1",40,8,"1","4",2014
14110670,"1","1",22,4,"0","4",2014
14110461,"1","1",26,8,"0","1",2014
14110107,"1","0",28,4,"0","1",2014
14110402,"1","1",28,6,"0","1",2014
14110971,"0","0",60,10,"0","1",2014
14111211,"1","0",20,8,"0","1",2014
14110548,"0","1",43,5,"0","1",2014
14111493,"1","0",39,4,"0","1",2014
14110978,"0","1",19,6,"1","1",2014
14110994,"1","0",40,8,"0","10",2014
14111085,"0","1",22,4,"0","1",2014
14111260,"1","1",45,8,"0","1",2014
14110025,"1","1",50,5,"1","1",2014
14111326,"1","1",29,7,"0","1",2014
14111019,"0","1",71,5,"1","1",2014
14111430,"1","0",30,6,"0","5",2014
14110586,"1","0",23,6,"0","1",2014
14111455,"1","0",75,10,"0","1",2014
14111294,"1","1",46,6,"0","1",2014
14110144,"1","1",48,3,"1","1",2014
14111318,"0","1",19,5,"0","1",2014
14111026,"0","1",67,6,"0","1",2014
14110489,"0","1",53,4,"0","1",2014
14110721,"1","0",59,7,"0","2",2014
14110045,"0","0",29,5,"0","1",2014
14110169,"1","0",38,2,"1","5",2014
